street_address_and_name,zipcode,city,use_code,tax_assessment_year,tax_assessment_value,year_built,lot_size,finished_square_feet,bathrooms,bedrooms,zestimate_amount,region_name,region_type
4540 Noeline Ave,91436,ENCINO,SingleFamily,2018,165215,1954,8757,2348,3,2,1484316,Encino,neighborhood
525 S Ardmore Ave APT 339,90020,LOS ANGELES,Condominium,2018,190124,1973,73616,368,1,0,293772,Koreatown,neighborhood
339 S Ardmore Ave # 54B8GBXTA,90020,Los Angeles,MultiFamily5Plus,NA,NA,NA,NA,NA,1,1,NA,Koreatown,neighborhood
339 S Ardmore Ave # UZNHCYQ9B,90020,Los Angeles,MultiFamily5Plus,NA,NA,NA,NA,NA,1,0,NA,Koreatown,neighborhood
4011 Van Horne Ave,90032,LOS ANGELES,SingleFamily,2018,414841,1931,5647,905,1,3,620610,El Sereno,neighborhood
11800 Lindblade St,90230,Los Angeles,SingleFamily,2018,419696,1956,9039,1785,2,4,1390332,Del Rey,neighborhood
953 S Gramercy Dr,90019,LOS ANGELES,SingleFamily,2018,496753,1909,6882,2036,2,3,1157797,Mid City,neighborhood
3851 S Van Ness Ave,90062,LOS ANGELES,MultiFamily2To4,2018,342601,1947,5227,1725,NA,0,611925,South Los Angeles,neighborhood
15406 Marilla St,91343,NORTH HILLS,SingleFamily,2018,493565,1977,7701,1327,2,3,534354,North Hills,neighborhood
1674 Palisades Dr,90272,PACIFIC PALISADES,Condominium,2018,706495,1978,363116,1998,2.5,2,1136298,Pacific Palisades,neighborhood
13254 Cornelius St,91331,PACOIMA,SingleFamily,2018,7584,1954,6677,1080,2,3,465483,Pacoima,neighborhood
15827 Harvest St,91344,GRANADA HILLS,SingleFamily,2018,535500,1956,12196,1888,2,4,663818,Granada Hills,neighborhood
2611 Tilden Ave,90064,LOS ANGELES,SingleFamily,2018,775702,1936,5403,1426,2,3,1214943,Cheviot Hills,neighborhood
11741 Woodbine St,90066,LOS ANGELES,SingleFamily,2018,685688,1946,7378,1899,2,3,1788729,Mar Vista,neighborhood
1607 W 48th St,90062,LOS ANGELES,Duplex,2018,191410,1910,5614,1830,2,3,560619,South Los Angeles,neighborhood
2220 S Pacific Ave,90731,SAN PEDRO,Apartment,2018,279128,1918,4900,4140,1.5,2,961814,San Pedro,neighborhood
1330 Keniston Ave,90019,LOS ANGELES,Duplex,2018,265238,1928,7395,3064,3,5,1340263,Mid City,neighborhood
224 E 66th St,90003,LOS ANGELES,SingleFamily,2018,206164,1907,5401,1046,1,3,376041,Southeast Los Angeles,neighborhood
335 E 115th St,90061,LOS ANGELES,Duplex,2018,58e4,2007,6166,1966,4,6,573142,Southeast Los Angeles,neighborhood
4368 Esmeralda St,90032,LOS ANGELES,Triplex,2018,677629,1909,2972,1962,3,8,669967,Montecito Heights,neighborhood
3933 Halldale Ave,90062,LOS ANGELES,Duplex,2018,543e3,1924,5403,1696,2,4,591e3,South Los Angeles,neighborhood
960 W 43rd Pl,90037,LOS ANGELES,Duplex,2018,184506,1923,5384,2030,2,4,538557,South Los Angeles,neighborhood
4849 Glenalbyn Dr,90065,Los Angeles,SingleFamily,2018,35700,NA,3304,NA,NA,0,NA,Mount Washington,neighborhood
1253 N New Hampshire Ave,90029,LOS ANGELES,MultiFamily2To4,2018,384501,1920,6499,3800,5,10,1896433,Hollywood,neighborhood
14905 Sandra St,91345,MISSION HILLS,SingleFamily,2018,435e3,NA,NA,1778,2,3,585985,Mission Hills,neighborhood
5433 Sylvia Ave,91356,TARZANA,SingleFamily,2018,824438,1994,6975,4238,4,4,1479050,Tarzana,neighborhood
10721 Andora Ave,91311,CHATSWORTH,SingleFamily,2018,172545,1954,83977,2202,2,3,796904,Chatsworth,neighborhood
1994 N Sycamore Ave,90068,LOS ANGELES,Duplex,2018,478451,1912,5424,1706,3,4,1452372,Hollywood Hills,neighborhood
7800 Avalon Blvd,90003,LOS ANGELES,MultiFamily2To4,2018,468180,1960,4613,3304,6,9,780807,Southeast Los Angeles,neighborhood
8321 Bleriot Ave,90045,LOS ANGELES,SingleFamily,2018,1026445,1943,8057,2165,3,4,1462579,Westchester,neighborhood
8720 Bleriot Ave,90045,Westchester,Unknown,NA,NA,1942,6e3,6e3,1,3,2501187,Westchester,neighborhood
7048 Irondale Ave,91306,WINNETKA,SingleFamily,2018,204674,1954,7499,1216,2,3,537445,Winnetka,neighborhood
825 S Beverly Glen Blvd,90024,LOS ANGELES,SingleFamily,2018,348981,1940,12614,3428,5,4,4254357,Westwood,neighborhood
3704 W 36th St,90016,LOS ANGELES,MultiFamily2To4,2018,344548,1939,5030,750,NA,1,662772,West Adams,neighborhood
2768 Woodwardia Dr,90077,LOS ANGELES,SingleFamily,2018,503496,1970,847374,2800,2,5,1948220,Beverly Crest,neighborhood
856 W 126th St,90044,LOS ANGELES,SingleFamily,2018,202620,1955,7761,1222,2,4,497180,Harbor Gateway,neighborhood
8020 Lesner Ave,91406,VAN NUYS,SingleFamily,2018,246612,1952,6003,1246,2,2,577154,Lake Balboa,neighborhood
935 S Centre St,90731,SAN PEDRO,SingleFamily,2018,421065,1904,4500,1680,2,2,536922,San Pedro,neighborhood
4638 Lexington Ave,90029,LOS ANGELES,SingleFamily,2018,248e3,1911,8263,1503,2,2,NA,Hollywood,neighborhood
1363 W Sepulveda St,90732,SAN PEDRO,SingleFamily,2018,91308,1948,7030,2113,2,3,771549,San Pedro,neighborhood
6743 Atoll Ave,91606,NORTH HOLLYWOOD,SingleFamily,2018,286677,1950,8706,1115,2,3,654088,Valley Glen,neighborhood
8212 Murietta Ave,91402,PANORAMA CITY,SingleFamily,2018,244944,1949,5306,1020,2,3,493776,Panorama City,neighborhood
2023 Gates St,90031,LOS ANGELES,Duplex,2018,360980,1907,6905,2110,3,4,661769,Lincoln Heights,neighborhood
6669 Wilbur Ave UNIT 45,91335,Los Angeles,Condominium,2018,364035,1971,129721,1211,2,4,418323,Reseda,neighborhood
6669 Wilbur Ave UNIT 46,91335,Los angeles,Condominium,2018,266592,1971,2613,1211,2,3,417367,Reseda,neighborhood
6669 Wilbur Ave UNIT 43,91335,Los angeles,Condominium,2018,286388,1971,129713,1211,2,4,419113,Reseda,neighborhood
6669 Wilbur Ave UNIT 44,91335,Los angeles,Condominium,2018,71052,1971,129713,1211,2,4,418468,Reseda,neighborhood
6669 Wilbur Ave UNIT 41,91335,Los angeles,Condominium,2018,141817,1971,129713,1211,2,4,419061,Reseda,neighborhood
6669 Wilbur Ave UNIT 42,91335,Los Angeles,Condominium,2018,354838,1971,129713,1211,2,3,415990,Reseda,neighborhood
6669 Wilbur Ave UNIT 47,91335,Los angeles,Condominium,2018,161948,1971,129713,1211,2,4,418446,Reseda,neighborhood
6669 Wilbur Ave UNIT 48,91335,Los Angeles,Condominium,2018,151542,1971,129713,1211,2,4,418449,Reseda,neighborhood
2506 Almaden Ct,90077,LOS ANGELES,Condominium,2018,138e4,1978,217994,2536,3,2,1545666,Beverly Crest,neighborhood
2715 Pepper Ave,90065,LOS ANGELES,SingleFamily,2018,51875,1922,4001,1036,2,3,698157,Cypress Park,neighborhood
7413 Eton Ave,91303,CANOGA PARK,Duplex,2018,243921,1958,6004,1560,2,4,585456,Canoga Park,neighborhood
1722 S Ogden Dr,90019,LOS ANGELES,SingleFamily,2018,458118,1933,4844,1522,1.75,3,1184091,Mid City,neighborhood
10399 Oneida Ave,91331,PACOIMA,SingleFamily,2018,185390,1950,8098,796,1,2,432232,Pacoima,neighborhood
19962 Gresham St,91324,NORTHRIDGE,SingleFamily,2018,471942,1956,7405,1392,2,3,567773,Winnetka,neighborhood
2723 Eagle St,90033,LOS ANGELES,Duplex,2018,313915,1911,4801,2520,2,4,663962,Boyle Heights,neighborhood
2723 Lytelle Pl,90065,LOS ANGELES,SingleFamily,2018,131938,1977,7863,1240,2,3,855636,Eagle Rock,neighborhood
2723 Lompoc St,90065,LOS ANGELES,SingleFamily,2018,574606,1954,6906,1214,1.75,3,822949,Eagle Rock,neighborhood
2723 Delor Rd,90065,LOS ANGELES,SingleFamily,2018,211687,1925,5024,708,1,2,653641,Eagle Rock,neighborhood
2723 Fyler Pl,90065,LOS ANGELES,SingleFamily,2018,691851,1953,5036,1213,2,3,778962,Eagle Rock,neighborhood
2723 Prismo Dr,90065,LOS ANGELES,SingleFamily,2018,393236,1923,3110,572,1,2,629859,Eagle Rock,neighborhood
2723 Medlow Ave,90065,LOS ANGELES,SingleFamily,2018,645341,1948,6359,1264,1,2,837913,Eagle Rock,neighborhood
2228 Glencoe Ave,90291,VENICE,SingleFamily,2018,1373642,1926,5853,1122,1,2,1728558,Venice,neighborhood
7811 Cowper Ave,91304,CANOGA PARK,SingleFamily,2018,810956,1986,6859,3064,3,4,937447,West Hills,neighborhood
17164 Gunther St,91344,GRANADA HILLS,SingleFamily,2018,294264,1963,7557,1837,2,4,739490,Granada Hills,neighborhood
13607 Erwin St,91401,VAN NUYS,SingleFamily,2018,828990,1917,10446,2450,5,4,972108,Valley Glen,neighborhood
13607 Erwin St,91401,Valley Glen,SingleFamily,NA,NA,1917,NA,2031,3,3,856716,Valley Glen,neighborhood
1412 W 64th St,90047,LOS ANGELES,SingleFamily,2018,205516,1957,4748,1039,2,3,441606,South Los Angeles,neighborhood
6633 White Oak Ave,91335,RESEDA,SingleFamily,2018,397347,1949,6797,1276,2,3,608317,Reseda,neighborhood
4021 Guardia Ave,90032,LOS ANGELES,SingleFamily,2018,158817,1996,3920,800,2,2,607772,El Sereno,neighborhood
6320 S Hoover St,90044,LOS ANGELES,Triplex,2018,292951,1925,5256,1722,3,4,515407,South Los Angeles,neighborhood
6320 Estrella Ave,90044,LOS ANGELES,SingleFamily,2018,253894,1911,5406,1408,2,4,474702,South Los Angeles,neighborhood
6320 S San Pedro St,90003,LOS ANGELES,SingleFamily,2018,221571,1952,5227,1760,4,4,509018,Southeast Los Angeles,neighborhood
6320 S Harvard Blvd,90047,Los Angeles,MultiFamily2To4,NA,NA,NA,NA,400,1,1,446669,South Los Angeles,neighborhood
5026 Lankershim Blvd,91601,North Hollywood,SingleFamily,2018,191775,1946,3001,2019,NA,0,NA,North Hollywood,neighborhood
1301 W Mauretania St,90744,WILMINGTON,SingleFamily,2018,476677,2014,7595,1718,2,3,533890,Wilmington,neighborhood
12801 S Carlton Ave,90061,LOS ANGELES,SingleFamily,2018,253341,1985,4356,1558,2,3,420036,Willowbrook,city
12801 Corlett Ave,90059,LOS ANGELES,SingleFamily,2018,218256,1965,6875,1900,3,5,504091,Willowbrook,city
11841 Wagner St,90230,Los Angeles,SingleFamily,2018,231533,1955,5110,960,2,3,1103515,Del Rey,neighborhood
12812 Covello St,91605,NORTH HOLLYWOOD,SingleFamily,2018,418590,1958,6049,1748,3,4,666011,Sun Valley,neighborhood
5269 Newcastle Ave UNIT 3,91316,Los angeles,Townhouse,2018,714e3,1966,160165,2123,2.5,4,629036,Encino,neighborhood
5269 Newcastle Ave UNIT 2,91316,Los Angeles,Condominium,2018,328489,1966,160165,2123,3,4,628961,Encino,neighborhood
5269 Newcastle Ave UNIT 1,91316,Los angeles,Condominium,2018,454408,1966,160165,2123,3,4,629501,Encino,neighborhood
17937 Bullock St,91316,ENCINO,SingleFamily,2018,695e3,1949,5714,1412,2,3,747115,Encino,neighborhood
1423 Marinette Rd,90272,PACIFIC PALISADES,SingleFamily,2018,1008074,1957,18570,2550,3,3,3217244,Pacific Palisades,neighborhood
12490 Wagner St,90066,LOS ANGELES,SingleFamily,2018,240883,1952,4403,982,1,3,1061268,Del Rey,neighborhood
934 Milwood Ave,90291,VENICE,SingleFamily,2018,382417,1921,4250,816,1,2,1730356,Venice,neighborhood
5966 Abernathy Dr,90045,LOS ANGELES,SingleFamily,2018,2135260,1951,14200,7100,7,6,4558825,Westchester,neighborhood
6350 Beck Ave,91606,NORTH HOLLYWOOD,SingleFamily,2018,454192,1952,6412,1754,2,4,719086,North Hollywood,neighborhood
18729 Runnymede St,91335,RESEDA,SingleFamily,2018,54889,1951,6864,1101,1,3,510473,Reseda,neighborhood
22036 Cantlay St,91303,CANOGA PARK,SingleFamily,2018,468180,1977,6534,1772,2,3,604471,Canoga Park,neighborhood
1800 W 46th St,90062,LOS ANGELES,SingleFamily,2018,269104,1912,5670,1170,1,4,559433,South Los Angeles,neighborhood
8804 Rincon Ave,91352,SUN VALLEY,SingleFamily,2018,275973,1947,5080,944,1,3,488131,Sun Valley,neighborhood
8054 Laurel Canyon Blvd,91605,NORTH HOLLYWOOD,SingleFamily,2018,282934,1937,9583,1730,1.5,2,604887,Sun Valley,neighborhood
325 S Mccadden Pl,90020,LOS ANGELES,SingleFamily,2018,3213e3,1928,12253,4316,4,4,3560008,Mid Wilshire,neighborhood
5660 Yolanda Ave APT 3,91356,TARZANA,Condominium,2018,145710,1975,32678,793,1,2,349894,Tarzana,neighborhood
5660 Etiwanda Ave UNIT 3,91356,Los angeles,Condominium,2018,266143,1974,210892,1673,3,3,533775,Tarzana,neighborhood
172 S Woodburn Dr,90049,LOS ANGELES,SingleFamily,2018,381066,1948,10280,1754,2,2,2148842,Brentwood,neighborhood
1436 S Sherbourne Dr,90035,Los Angeles,Apartment,NA,NA,1946,NA,1e3,1,2,NA,Pico-Robertson,neighborhood
3564 S Muirfield Rd,90016,LOS ANGELES,SingleFamily,2018,706431,1942,6155,1726,2,3,888224,West Adams,neighborhood
19411 Haynes St APT 3,91335,Reseda,MultiFamily2To4,NA,NA,1958,8153,4294,6,8,1296708,Tarzana,neighborhood
19411 Haynes St APT 4,91335,Reseda,MultiFamily2To4,NA,NA,1958,NA,625,1,1,513932,Tarzana,neighborhood
7052 Corbin Ave,91335,RESEDA,SingleFamily,2018,235479,1953,6534,1417,2,3,564107,Reseda,neighborhood
6518 Mary Ellen Ave,91401,VAN NUYS,SingleFamily,2018,111626,1951,6534,1040,1,3,611182,Valley Glen,neighborhood
17306 Trosa St,91344,GRANADA HILLS,SingleFamily,2018,743885,1966,8868,2348,3,5,788393,Granada Hills,neighborhood
7315 Rhea Ave,91335,RESEDA,SingleFamily,2018,270797,1950,7547,2224,2,4,631791,Reseda,neighborhood
1831 Alder Dr,90065,Los Angeles,SingleFamily,2018,53455,NA,6998,NA,NA,0,NA,Mount Washington,neighborhood
2750 S Bentley Ave,90064,LOS ANGELES,SingleFamily,2018,910926,1936,8050,1432,2,3,1278751,Palms,neighborhood
7208 Tranquil Pl,91042,Tujunga,SingleFamily,2018,8147,NA,958,NA,NA,0,NA,Tujunga,neighborhood
324 E 84th Pl,90003,LOS ANGELES,Duplex,2018,219597,1924,5200,1389,2,3,436917,Southeast Los Angeles,neighborhood
10159 Jumilla Ave,91311,CHATSWORTH,SingleFamily,2018,439710,1969,10990,2930,3,4,873927,Chatsworth,neighborhood
2037 Cambridge St,90006,Los Angeles,SingleFamily,NA,NA,1903,6534,1834,1,3,840413,Harvard Heights,neighborhood
6216 Deerwood Trl,91042,Tujunga,SingleFamily,2018,2200,NA,2055,NA,NA,0,NA,Tujunga,neighborhood
222 N Malgren Ave,90732,SAN PEDRO,SingleFamily,2018,100787,1955,6715,1239,2,3,799610,San Pedro,neighborhood
8649 Sylmar Ave,91402,PANORAMA CITY,SingleFamily,2018,320127,1948,5227,1014,2,3,487813,Panorama City,neighborhood
12939 Newton St,91342,SYLMAR,SingleFamily,2018,63080,1962,7551,1144,2,3,500250,Sylmar,neighborhood
6749 Ensign Ave,91606,NORTH HOLLYWOOD,SingleFamily,2018,164450,1944,6845,960,1,3,544656,North Hollywood,neighborhood
1424 W 57th St,90062,LOS ANGELES,SingleFamily,2018,29675,1910,4880,864,1,2,391425,South Los Angeles,neighborhood
12760 Millennium # A317,90094,Playa Vista,MultiFamily5Plus,NA,NA,2015,NA,723,1,1,NA,Playa Vista,neighborhood
2843 Virginia Rd,90016,LOS ANGELES,SingleFamily,2018,593028,1923,5227,1415,1.75,3,739869,West Adams,neighborhood
4843 Arcola Ave,91601,NORTH HOLLYWOOD,SingleFamily,2018,1095110,1941,7405,1969,3,3,1132883,Toluca Lake,neighborhood
3748 Virginia Rd,90016,LOS ANGELES,SingleFamily,2018,283654,1938,6239,1843,2,3,855130,West Adams,neighborhood
20445 Lassen St,91311,CHATSWORTH,SingleFamily,2018,80528,1957,8438,1263,2,3,600809,Chatsworth,neighborhood
739 E 73rd St,90001,LOS ANGELES,SingleFamily,2018,346e3,1923,4806,1097,2,2,371848,Southeast Los Angeles,neighborhood
1063 W 7th St,90017,San Pedro,Triplex,2018,396113,1943,6044,1825,3,3,709870,San Pedro,neighborhood
1235 S Ogden Dr,90019,Los Angeles,MultiFamily2To4,NA,NA,NA,NA,NA,NA,NA,NA,Mid City,neighborhood
1110 W 47th St,90037,LOS ANGELES,MultiFamily2To4,2018,226345,1923,8148,1802,2,2,536504,South Los Angeles,neighborhood
631 W 110th St,90044,LOS ANGELES,SingleFamily,2018,46057,1926,5002,1482,1,2,437903,South Los Angeles,neighborhood
4820 San Rafael Ave,90042,LOS ANGELES,SingleFamily,2018,168423,1911,5096,2304,1,3,1033879,Mount Washington,neighborhood
14711 Germain St,91345,MISSION HILLS,SingleFamily,2018,231008,1954,8215,1536,2,3,555922,Mission Hills,neighborhood
424 N Gardner St,90036,LOS ANGELES,SingleFamily,2018,1840400,2018,1522,1920,2.5,2,1309624,Mid City West,neighborhood
777 E 53rd St,90011,Los Angeles,Apartment,2018,312869,1915,5204,3355,5,5,NA,Southeast Los Angeles,neighborhood
4461 Hayvenhurst Ave,91436,ENCINO,SingleFamily,2018,1927800,1952,29445,3036,4,4,2626514,Encino,neighborhood
8105 Willow Glen Rd,90046,LOS ANGELES,SingleFamily,2018,1352822,1966,6314,3099,4,3,2492753,Hollywood Hills,neighborhood
322 E 67th St,90003,LOS ANGELES,Duplex,2018,29246,1920,5399,1282,2,3,429438,Southeast Los Angeles,neighborhood
7527 Zelzah Ave,91335,RESEDA,SingleFamily,2018,266617,1961,7918,2495,2,4,715695,Reseda,neighborhood
1291 W 37th Dr,90007,LOS ANGELES,SingleFamily,2018,37977,1909,6599,1540,1,3,789986,South Los Angeles,neighborhood
3470 3rd Ave,90018,LOS ANGELES,SingleFamily,2018,38610,1909,5804,1224,1,2,770259,Jefferson Park,neighborhood
2122 Griffith Park Blvd,90039,Los Angeles,Townhouse,NA,NA,NA,NA,NA,1,1,601943,Silver Lake,neighborhood
2829 E Cesar E Chavez Ave,90033,Los Angeles,Apartment,2018,946650,1924,6408,4978,12,4,NA,Boyle Heights,neighborhood
4823 Oakwood Ave,90004,Los Angeles,SingleFamily,NA,NA,1921,NA,1312,2,2,1188029,Mid Wilshire,neighborhood
19518 Eagle Ridge Ln,91326,PORTER RANCH,Condominium,2018,498052,1987,3050,1929,3,3,593024,Porter Ranch,neighborhood
1734 N Fuller Ave APT 205,90046,LOS ANGELES,Condominium,2018,418200,1961,19500,920,1,1,492272,Hollywood,neighborhood
1734 N Fuller Ave APT 308,90046,LOS ANGELES,Condominium,2018,373e3,1961,19499,475,1,0,413182,Hollywood,neighborhood
1734 N Fuller Ave APT 307,90046,LOS ANGELES,Condominium,2018,374365,1961,605,944,1,1,494895,Hollywood,neighborhood
1734 N Fuller Ave APT 210,90046,LOS ANGELES,Condominium,2018,253339,1961,19500,686,1,1,447147,Hollywood,neighborhood
1734 N Fuller Ave APT 105,90046,Los Angeles,Condominium,2018,46e4,1961,19500,1e3,1,1,566991,Hollywood,neighborhood
1734 N Fuller Ave APT 209,90046,Los Angeles,Condominium,2018,561815,1961,19499,1226,2,2,723261,Hollywood,neighborhood
1734 N Fuller Ave APT 208,90046,Los Angeles,Condominium,2018,357e3,1961,605,428,1,NA,419149,Hollywood,neighborhood
1734 N Fuller Ave APT 309,90046,LOS ANGELES,Condominium,2018,598229,1961,1306,1226,3,2,836224,Hollywood,neighborhood
1734 N Fuller Ave APT 204,90046,LOS ANGELES,Condominium,2018,92240,1961,19500,929,1,1,481125,Hollywood,neighborhood
1734 N Fuller Ave APT 203,90046,LOS ANGELES,Condominium,2018,200458,1961,19500,916,1,1,483725,Hollywood,neighborhood
1734 N Fuller Ave APT 202,90046,LOS ANGELES,Condominium,2018,135789,1961,19500,1185,2,2,680163,Hollywood,neighborhood
1734 N Fuller Ave APT 201,90046,Los Angeles,Condominium,2018,612525,1961,19500,1168,2,2,649973,Hollywood,neighborhood
1734 N Fuller Ave APT 206,90046,LOS ANGELES,Condominium,2018,84176,1961,19500,933,1,1,484567,Hollywood,neighborhood
1734 N Fuller Ave APT 207,90046,Los Angeles,Condominium,2018,197985,1961,19500,944,1,1,490636,Hollywood,neighborhood
1734 N Fuller Ave APT 110,90046,LOS ANGELES,Condominium,2018,173309,1961,19497,408,1,0,420910,Hollywood,neighborhood
1734 N Fuller Ave APT 108,90046,Los Angeles,Condominium,2018,112168,1961,19500,428,1,NA,413288,Hollywood,neighborhood
1734 N Fuller Ave APT 107,90046,Los Angeles,Condominium,2018,108039,1961,19500,944,1,1,490634,Hollywood,neighborhood
1734 N Fuller Ave APT 211,90046,LOS ANGELES,Condominium,2018,175394,1961,19500,1089,2,2,631240,Hollywood,neighborhood
1734 N Fuller Ave APT 301,90046,LOS ANGELES,Condominium,2018,431087,1961,19500,1168,2,2,654321,Hollywood,neighborhood
1734 N Fuller Ave APT 302,90046,Los Angeles,Condominium,2018,522521,1961,19500,1185,2,2,668036,Hollywood,neighborhood
1734 N Fuller Ave APT 303,90046,LOS ANGELES,Condominium,2018,173655,1961,19500,916,1,1,483645,Hollywood,neighborhood
1734 N Fuller Ave APT 304,90046,LOS ANGELES,Condominium,2018,90495,1961,19500,929,1,1,483605,Hollywood,neighborhood
1734 N Fuller Ave APT 305,90046,LOS ANGELES,Condominium,2018,442169,1961,19499,916,1,1,485667,Hollywood,neighborhood
1734 N Fuller Ave APT 306,90046,LOS ANGELES,Condominium,2018,394979,1961,609,933,1,1,492355,Hollywood,neighborhood
1734 N Fuller Ave APT 104,90046,LOS ANGELES,Condominium,2018,205253,1961,19500,929,1,1,483605,Hollywood,neighborhood
19644 Nashville St,91311,CHATSWORTH,SingleFamily,2018,840097,1974,18029,3377,6,5,1179903,Northridge,neighborhood
7259 Hillside Ave UNIT 101,90046,LOS ANGELES,Condominium,2018,527518,1965,1350,1266,2,2,702115,Hollywood Hills,neighborhood
7259 Hillside Ave UNIT 102,90046,LOS ANGELES,Condominium,2018,493483,1965,20205,1550,2,2,766531,Hollywood Hills,neighborhood
7259 Hillside Ave UNIT 103,90046,LOS ANGELES,Condominium,2018,321578,1965,20205,1499,2,1,762739,Hollywood Hills,neighborhood
7259 Hillside Ave UNIT 104,90046,LOS ANGELES,Condominium,2018,521271,1965,20205,1437,2,1,758127,Hollywood Hills,neighborhood
7259 Hillside Ave UNIT 105,90046,LOS ANGELES,Condominium,2018,570381,1965,20206,1782,2,2,NA,Hollywood Hills,neighborhood
7259 Hillside Ave UNIT 201,90046,Los Angeles,Condominium,2018,593027,1965,20205,1559,2,2,767560,Hollywood Hills,neighborhood
7259 Hillside Ave UNIT 202,90046,LOS ANGELES,Condominium,2018,544068,1965,1350,1480,2,2,761614,Hollywood Hills,neighborhood
7259 Hillside Ave UNIT 203,90046,LOS ANGELES,Condominium,2018,71482,1965,20205,1500,2,1,762728,Hollywood Hills,neighborhood
7259 Hillside Ave UNIT 204,90046,Los Angeles,Condominium,2018,337682,1965,20205,1439,2,1,758368,Hollywood Hills,neighborhood
7259 Hillside Ave UNIT 205,90046,LOS ANGELES,Condominium,2018,130926,1965,20205,1786,2,2,887177,Hollywood Hills,neighborhood
7259 Hillside Ave UNIT 301,90046,LOS ANGELES,Condominium,2018,167878,1965,20205,1556,2,1,767773,Hollywood Hills,neighborhood
7259 Hillside Ave UNIT 302,90046,LOS ANGELES,MultiFamily2To4,2018,385258,1965,20205,1463,2,2,922869,Hollywood Hills,neighborhood
7259 Hillside Ave UNIT 303,90046,LOS ANGELES,Condominium,2018,693e3,1965,20205,1494,2,1,761998,Hollywood Hills,neighborhood
7259 Hillside Ave UNIT 304,90046,LOS ANGELES,Condominium,2018,206658,1965,20205,1438,2,1,758068,Hollywood Hills,neighborhood
7259 Hillside Ave UNIT 305,90046,LOS ANGELES,Condominium,2018,243320,1965,20205,1783,2,2,884763,Hollywood Hills,neighborhood
23739 Sandalwood St,91307,WEST HILLS,SingleFamily,2018,329726,1972,9517,2250,3,4,852111,West Hills,neighborhood
9757 Kester Ave,91343,NORTH HILLS,SingleFamily,2018,157753,1956,7973,1355,2,4,543469,North Hills,neighborhood
16912 S Vermont Ave,90247,GARDENA,MultiFamily2To4,2018,875913,1963,5214,4866,8,9,546998,Harbor Gateway,neighborhood
3711 Baldwin St APT 1804,90031,Los Angeles,Condominium,2018,133157,1994,67202,1321,2,2,456714,Lincoln Heights,neighborhood
2249 Duane St,90039,Los Angeles,MultiFamily2To4,NA,NA,NA,NA,4696,2,2,NA,Silver Lake,neighborhood
7865 Sancola Ave,91352,SUN VALLEY,SingleFamily,2018,57e4,1910,9691,2172,6,4,1065147,Sun Valley,neighborhood
1937 W 42nd St,90062,LOS ANGELES,SingleFamily,2018,36139,1924,5502,1283,2,3,645685,South Los Angeles,neighborhood
19820 Superior St,91311,CHATSWORTH,SingleFamily,2018,561e3,1958,7501,1976,2,3,722987,Chatsworth,neighborhood
9443 Lemona Ave,91343,NORTH HILLS,Condominium,2018,239427,1992,33823,1625,3,3,481246,North Hills,neighborhood
10667 El Dorado Ave,91331,PACOIMA,SingleFamily,2018,109390,1960,7211,1732,2,4,519793,Pacoima,neighborhood
3900 Ridgemoor Dr,91604,STUDIO CITY,SingleFamily,2018,70836,1948,6734,1202,2,2,1125312,Studio City,neighborhood
15135 Cobalt St,91342,SYLMAR,SingleFamily,2018,78e4,1950,30086,1888,2,4,692861,Sylmar,neighborhood
11202 Alvaro St,90059,LOS ANGELES,SingleFamily,2018,331500,1940,4991,989,1.5,3,382676,Watts,neighborhood
8853 S San Pedro St,90003,LOS ANGELES,SingleFamily,2018,396112,2008,2582,1880,3,4,423373,Southeast Los Angeles,neighborhood
5724 Saloma Ave,91411,VAN NUYS,SingleFamily,2018,272594,1951,5904,1199,2,3,772672,Sherman Oaks,neighborhood
4214 Don Felipe Dr,90008,LOS ANGELES,SingleFamily,2018,314890,1953,8179,2086,3,3,1162237,Crenshaw,neighborhood
17237 San Jose St,91344,GRANADA HILLS,SingleFamily,2018,195493,1950,19016,1552,2,3,702040,Granada Hills,neighborhood
444 N Plymouth Blvd,90004,LOS ANGELES,SingleFamily,2018,425194,1923,7411,1920,2,4,1616098,Mid Wilshire,neighborhood
3148 Ellington Dr,90068,Los Angeles,SingleFamily,2018,372e3,NA,4499,NA,NA,0,NA,Hollywood Hills,neighborhood
3043 Ellington Dr,90068,Hollywood,SingleFamily,NA,NA,2006,43560,4200,4.5,5,3151368,Hollywood Hills,neighborhood
4160 Sunnyslope Ave,91423,SHERMAN OAKS,SingleFamily,2018,1509672,1951,8001,2647,4,4,1787199,Sherman Oaks,neighborhood
12818 Woodcock Ave,91342,SYLMAR,SingleFamily,2018,428841,1947,6751,1536,2,5,531209,Sylmar,neighborhood
4287 Dalton Ave,90062,LOS ANGELES,Duplex,2018,39153,1925,6967,1994,2,5,597144,South Los Angeles,neighborhood
11215 Bromont Ave,91331,PACOIMA,SingleFamily,2018,157150,1957,7537,1106,2,3,480487,Pacoima,neighborhood
3031 Surry St,90027,LOS ANGELES,SingleFamily,2018,973918,1927,10680,1646,2,3,1427072,Los Feliz,neighborhood
11320 Mclennan Ave,91344,GRANADA HILLS,SingleFamily,2018,344305,1959,8080,1812,3,3,655209,Granada Hills,neighborhood
20529 S Vermont Ave UNIT 7,90502,Carson,Condominium,2018,215542,1980,229579,959,2,2,382418,West Carson,city
